location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Süd), Stuttgart;2020-01-06 17:19:59 +0100;200;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:24:56 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:24:59 +0100;182;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:28:47 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:29:55 +0100;122;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:33:20 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:34:57 +0100;105;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:37:23 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:39:57 +0100;100;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:42:48 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:44:54 +0100;171;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:49:58 +0100;118;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:54:51 +0100;110;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:58:59 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:59:56 +0100;154;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:02:18 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:04:58 +0100;114;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:09:43 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:09:58 +0100;101;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:14:03 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:14:48 +0100;116;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:18:54 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:19:59 +0100;120;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:22:24 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:24:55 +0100;95;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:28:55 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:29:59 +0100;116;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:34:58 +0100;101;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:38:35 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:39:56 +0100;112;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:44:55 +0100;86;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:47:42 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:49:57 +0100;114;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:54:32 +0100;76;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 18:59:57 +0100;45;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:04:50 +0100;102;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:08:52 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:09:59 +0100;65;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:14:51 +0100;102;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:19:52 +0100;91;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:24:56 +0100;67;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:29:57 +0100;84;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:34:49 +0100;56;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:38:57 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:39:51 +0100;55;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:44:55 +0100;61;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:49:35 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:49:57 +0100;73;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:54:07 +0100;46;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:55:02 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 19:59:47 +0100;46;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:04:58 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:04:59 +0100;50;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:06:47 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:09:35 +0100;56;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:14:54 +0100;41;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:19:58 +0100;40;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:24:47 +0100;48;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:29:53 +0100;64;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:34:54 +0100;48;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:39:53 +0100;39;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:44:59 +0100;44;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:49:40 +0100;29;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:54:38 +0100;27;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 20:59:37 +0100;42;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:01:21 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:04:50 +0100;28;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:09:41 +0100;25;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:14:36 +0100;18;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:19:55 +0100;32;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:24:54 +0100;27;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:29:47 +0100;35;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:34:21 +0100;24;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:39:55 +0100;16;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:44:51 +0100;26;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:49:39 +0100;23;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:54:54 +0100;31;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 21:58:54 +0100;19;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:04:57 +0100;25;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:09:31 +0100;17;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:14:34 +0100;23;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:18:56 +0100;10;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:24:32 +0100;11;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:29:26 +0100;17;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:34:54 +0100;21;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:39:57 +0100;17;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:41:00 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:44:54 +0100;43;regular;""
