location;time_of_measurement;counted_pedestrians;type;incidents
Planken (Mitte), Mannheim;2020-03-04 11:04:43 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:04:52 +0100;104;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:04:53 +0100;44;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:09:15 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:09:59 +0100;133;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:13:12 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:14:43 +0100;42;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:14:46 +0100;88;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:19:26 +0100;9;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:19:54 +0100;46;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:19:58 +0100;109;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:21:34 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:24:57 +0100;120;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:24:59 +0100;42;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:26:29 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:29:46 +0100;102;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:29:59 +0100;80;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:34:04 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:34:52 +0100;70;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:34:55 +0100;110;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:37:44 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:39:56 +0100;96;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:39:57 +0100;55;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:41:32 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:44:52 +0100;39;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:44:55 +0100;95;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:49:10 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:49:53 +0100;66;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:49:55 +0100;113;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:54:16 +0100;5;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:54:52 +0100;81;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:54:59 +0100;113;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:57:28 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:59:54 +0100;106;regular;""
Planken (Mitte), Mannheim;2020-03-04 11:59:59 +0100;56;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:04:48 +0100;167;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:05:59 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:09:51 +0100;67;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:09:59 +0100;103;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:12:47 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:13:57 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:14:38 +0100;74;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:14:59 +0100;121;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:18:51 +0100;5;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:19:58 +0100;102;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:19:59 +0100;77;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:24:04 +0100;5;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:24:51 +0100;77;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:24:58 +0100;143;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:25:23 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:29:58 +0100;178;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:34:46 +0100;67;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:34:55 +0100;133;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:35:40 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:39:58 +0100;217;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:41:27 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:44:14 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:44:55 +0100;135;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:44:56 +0100;62;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:48:21 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:49:46 +0100;71;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:49:51 +0100;114;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:54:44 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:54:56 +0100;70;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:54:59 +0100;132;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:58:50 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:59:53 +0100;58;regular;""
Planken (Mitte), Mannheim;2020-03-04 12:59:59 +0100;116;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:04:53 +0100;134;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:04:56 +0100;72;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:08:20 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:09:53 +0100;81;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:09:59 +0100;122;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:11:18 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:14:54 +0100;74;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:14:56 +0100;139;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:19:38 +0100;5;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:19:56 +0100;62;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:19:59 +0100;125;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:20:42 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:24:56 +0100;189;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:29:53 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:29:55 +0100;49;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:29:57 +0100;140;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:33:43 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:34:54 +0100;136;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:34:59 +0100;78;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:38:54 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:39:49 +0100;67;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:39:54 +0100;109;regular;""
Planken (Mitte), Mannheim;2020-03-04 13:42:41 +0100;2;regular;""
